rent,area,yearc,location
120.6137543,35,1939,0
435.671814,104,1939,0
354.683197,29,1971,1
282.0797424,39,1972,1
804.8245239,97,1985,0
481.3813171,62,1962,0
322.7274475,31,1965,0
369.8685608,61,1957.5,1
372.5783997,72,1978,0
520.137207,75,1968,0
642.2848511,65,1956,1
698.3735962,91,1984,0
778.7997437,100,1959,0
411.0786743,32,1994.5,0
329.3230896,64,1962,0
245.1644592,63,1929,0
555.3652344,103,1955,0
423.7075806,73,1980,0
329.2208557,60,1957,0
291.4363708,58,1934,0
332.5442505,32,1972,0
321.2958374,81,1996,0
184.9342804,39,1935,0
470.644165,108,1955,0
683.4949951,87,1979,1
507.6105652,60,1939,1
686.9206543,125,1979,0
204.7212677,67,1964,0
367.6699829,80,1972,0
634.5132446,74,1957,0
237.1882935,42,1962,0
411.9989929,39,1996,0
843.5805054,90,1983,1
374.5724182,80,1971,0
328.9140625,41,1960,0
302.8893127,59,1960,0
922.5239868,107,1918,1
481.5858459,63,1929,0
1146.725464,156,1918,1
529.8005981,110,1918,1
662.0718994,64,1918,2
311.6835327,75,1960,2
376.4642029,54,1934,1
519.9838257,70,1970,0
470.4396362,71,1970,0
344.8663635,33,1967,2
114.1203461,35,1939,0
325.3861694,27,1972,1
389.3487549,48,1972,2
541.1002197,54,1986,1
335.9698792,30,1972,0
484.6024475,86,1965,0
431.990509,60,1957.5,1
711.4115601,87,1981,0
535.7316284,78,1991,0
395.7399292,78,1969,0
527.1930542,96,1967,0
477.3932495,71,1965,1
470.3885193,59,1986,0
340.7760315,82,1982,0
371.9137268,87,1972,0
403.5115662,78,1929,0
528.6246948,75,1967,0
332.7998962,70,1965,0
368.2324219,57,1972,0
702.0037231,75,1984,0
220.366806,64,1957.5,0
703.2819824,58,1994.5,1
382.8553467,57,1918,1
805.8982544,123,1918,1
425.7527466,60,1956,0
897.010498,91,1958,0
460.8785095,53,1956,0
646.477478,88,1960,0
238.5688019,56,1929,0
408.880127,84,1956,1
599.7453613,75,1994.5,0
386.1276245,77,1964,0
340.9294128,77,1961,0
471.7690125,54,1990,0
315.7227478,71,1965,0
476.5240479,85,1957.5,0
604.2958984,58,1994,1
563.3414307,84,1973,0
290.5160522,67,1972,0
574.2318726,96,1924,0
362.7615967,54,1979,0
302.0201111,42,1971,0
464.7643127,72,1983,0
434.1379089,61,1983,0
211.623703,46,1965,0
418.3901367,36,1985,2
564.7218628,61,1983,0
374.4701843,46,1991,0
275.8930969,28,1965,0
1032.349365,105,1991,1
827.6793213,70,1987,2
338.4241028,49,1957.5,1
746.486145,88,1983,0
422.8894958,81,1962,0
599.4897461,87,1972,0
454.8452454,55,1969,0
505.0541077,65,1939,1
502.0375061,82,1941,0
242.6591339,48,1929,0
247.0051117,39,1957.5,1
459.7536621,88,1957.5,1
337.145874,57,1964,1
413.3283691,68,1918,1
351.5131531,59,1958,1
496.1576538,74,1964,0
417.3675537,70,1939,0
358.7223816,47,1964,0
283.7669983,50,1990,1
269.5019531,68,1955,0
338.0661926,87,1969,0
429.6385498,45,1973,1
291.9476624,51,1971,0
644.1766357,80,1969,1
582.2592163,77,1936,0
386.7411804,63,1951,0
238.2620239,70,1965,0
