inc	educ	race
16	10	b
18	7	b
26	9	b
16	11	b
34	14	b
22	12	b
42	16	b
42	16	b
16	9	b
20	10	b
66	16	b
26	12	b
20	10	b
30	15	b
20	10	b
30	19	b
32	16	h
16	11	h
20	10	h
58	16	h
30	12	h
26	10	h
20	8	h
40	12	h
32	10	h
22	11	h
20	10	h
56	14	h
32	12	h
30	11	h
30	14	w
48	14	w
40	7	w
84	18	w
50	10	w
38	12	w
30	12	w
76	16	w
48	16	w
36	11	w
40	11	w
44	12	w
30	10	w
60	15	w
24	9	w
88	17	w
46	16	w
50	16	w
50	14	w
22	11	w
26	12	w
46	16	w
22	9	w
24	9	w
64	14	w
62	16	w
24	10	w
50	13	w
32	10	w
34	16	w
52	18	w
24	12	w
22	14	w
20	13	w
30	14	w
24	13	w
120	18	w
22	10	w
82	16	w
18	12	w
26	12	w
104	14	w
28	12	w
32	12	w
38	14	w
44	12	w
22	12	w
18	10	w
24	12	w
56	20	w
